From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/08/2023 00:00:00,0.4,0.49,120
01/08/2023 00:30:00,0.4,0.47,118
01/08/2023 01:00:00,0.5,0.51,125
01/08/2023 01:30:00,0.4,0.5,123
01/08/2023 02:00:00,0.4,0.47,118
01/08/2023 02:30:00,0.4,0.48,119
01/08/2023 03:00:00,0.4,0.42,104
01/08/2023 03:30:00,0.4,0.45,112
01/08/2023 04:00:00,0.5,0.49,121
01/08/2023 04:30:00,0.4,0.49,121
01/08/2023 05:00:00,0.4,0.46,114
01/08/2023 05:30:00,0.5,0.45,114
01/08/2023 06:00:00,0.4,0.51,124
01/08/2023 06:30:00,0.5,0.56,137
01/08/2023 07:00:00,0.6,0.56,140
01/08/2023 07:30:00,0.5,0.59,143
01/08/2023 08:00:00,0.5,0.58,144
01/08/2023 08:30:00,0.5,0.59,144
01/08/2023 09:00:00,0.6,0.58,143
01/08/2023 09:30:00,0.5,0.59,143
01/08/2023 10:00:00,0.5,0.58,144
01/08/2023 10:30:00,0.5,0.59,142
01/08/2023 11:00:00,0.5,0.58,144
01/08/2023 11:30:00,0.5,0.58,146
01/08/2023 12:00:00,0.5,0.59,143
01/08/2023 12:30:00,0.5,0.58,144
01/08/2023 13:00:00,0.5,0.59,144
01/08/2023 13:30:00,0.5,0.58,142
01/08/2023 14:00:00,0.5,0.59,144
01/08/2023 14:30:00,0.5,0.58,143
01/08/2023 15:00:00,0.4,0.59,143
01/08/2023 15:30:00,0.5,0.58,143
01/08/2023 16:00:00,0.5,0.58,143
01/08/2023 16:30:00,0.4,0.59,143
01/08/2023 17:00:00,0.5,0.58,144
01/08/2023 17:30:00,0.5,0.58,141
01/08/2023 18:00:00,0.4,0.57,140
01/08/2023 18:30:00,0.5,0.58,144
01/08/2023 19:00:00,0.4,0.56,136
01/08/2023 19:30:00,0.4,0.54,135
01/08/2023 20:00:00,0.5,0.57,139
01/08/2023 20:30:00,0.4,0.59,144
01/08/2023 21:00:00,0.4,0.51,126
01/08/2023 21:30:00,0.4,0.52,128
01/08/2023 22:00:00,0.4,0.51,126
01/08/2023 22:30:00,0.4,0.48,116
01/08/2023 23:00:00,0.4,0.5,123
01/08/2023 23:30:00,0.4,0.54,134
02/08/2023 00:00:00,0.5,0.58,142
02/08/2023 00:30:00,0.4,0.47,117
02/08/2023 01:00:00,0.4,0.48,119
02/08/2023 01:30:00,0.4,0.54,131
02/08/2023 02:00:00,0.5,0.5,123
02/08/2023 02:30:00,0.4,0.51,124
02/08/2023 03:00:00,0.5,0.57,139
02/08/2023 03:30:00,0.4,0.48,118
02/08/2023 04:00:00,0.3,0.43,106
02/08/2023 04:30:00,0.5,0.51,127
02/08/2023 05:00:00,0.4,0.48,116
02/08/2023 05:30:00,0.5,0.5,125
02/08/2023 06:00:00,0.4,0.53,130
02/08/2023 06:30:00,0.5,0.54,132
02/08/2023 07:00:00,0.6,0.57,142
02/08/2023 07:30:00,0.5,0.58,141
02/08/2023 08:00:00,0.5,0.59,142
02/08/2023 08:30:00,0.5,0.58,149
02/08/2023 09:00:00,0.8,0.54,196
02/08/2023 09:30:00,0.6,0.46,145
02/08/2023 10:00:00,0.5,0.58,149
02/08/2023 10:30:00,0.6,0.59,143
02/08/2023 11:00:00,0.5,0.58,141
02/08/2023 11:30:00,0.5,0.59,142
02/08/2023 12:00:00,0.5,0.58,141
02/08/2023 12:30:00,0.5,0.58,142
02/08/2023 13:00:00,0.5,0.59,141
02/08/2023 13:30:00,0.5,0.58,141
02/08/2023 14:00:00,0.5,0.59,141
02/08/2023 14:30:00,0.5,0.58,140
02/08/2023 15:00:00,0.6,0.59,141
02/08/2023 15:30:00,0.4,0.58,141
02/08/2023 16:00:00,0.6,0.59,142
02/08/2023 16:30:00,0.5,0.58,143
02/08/2023 17:00:00,0.5,0.58,142
02/08/2023 17:30:00,0.4,0.55,132
02/08/2023 18:00:00,0.5,0.52,126
02/08/2023 18:30:00,0.5,0.57,138
02/08/2023 19:00:00,0.5,0.56,137
02/08/2023 19:30:00,0.5,0.55,134
02/08/2023 20:00:00,0.4,0.48,118
02/08/2023 20:30:00,0.5,0.5,121
02/08/2023 21:00:00,0.4,0.51,124
02/08/2023 21:30:00,0.5,0.5,124
02/08/2023 22:00:00,0.5,0.53,127
02/08/2023 22:30:00,0.3,0.41,103
02/08/2023 23:00:00,0.5,0.51,124
02/08/2023 23:30:00,0.4,0.43,106
03/08/2023 00:00:00,0.4,0.43,106
03/08/2023 00:30:00,0.5,0.44,135
03/08/2023 01:00:00,0.801,0.45,166
03/08/2023 01:30:00,0.5,0.46,113
03/08/2023 02:00:00,0.4,0.46,112
03/08/2023 02:30:00,0.4,0.45,113
03/08/2023 03:00:00,0.499,0.46,126
03/08/2023 03:30:00,0.8,0.46,144
03/08/2023 04:00:00,0.4,0.46,114
03/08/2023 04:30:00,0.4,0.48,118
03/08/2023 05:00:00,0.4,0.45,118
03/08/2023 05:30:00,0.8,0.45,143
