From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/01/2023 00:00:00,0.899,0.52,192
01/01/2023 00:30:00,1.3,0.52,225
01/01/2023 01:00:00,0.8,0.51,175
01/01/2023 01:30:00,1.2000000000000000,0.5,215
01/01/2023 02:00:00,1.1,0.5,202
01/01/2023 02:30:00,0.9,0.5,183
01/01/2023 03:00:00,1.2000000000000000,0.51,221
01/01/2023 03:30:00,1.1,0.5,200
01/01/2023 04:00:00,0.901,0.5,184
01/01/2023 04:30:00,1.299,0.51,220
01/01/2023 05:00:00,1.2000000000000000,0.5,220
01/01/2023 05:30:00,1.2,0.5,222
01/01/2023 06:00:00,0.801,0.52,173
01/01/2023 06:30:00,1.199,0.52,222
01/01/2023 07:00:00,1.4,0.56,233
01/01/2023 07:30:00,1.3,0.57,236
01/01/2023 08:00:00,1.0,0.59,211
01/01/2023 08:30:00,1.1,0.58,209
01/01/2023 09:00:00,1.3,0.59,241
01/01/2023 09:30:00,1.4,0.58,239
01/01/2023 10:00:00,1.3,0.58,230
01/01/2023 10:30:00,0.9,0.59,187
01/01/2023 11:00:00,1.3,0.58,240
01/01/2023 11:30:00,1.2000000000000000,0.58,240
01/01/2023 12:00:00,0.9,0.59,185
01/01/2023 12:30:00,1.4,0.59,236
01/01/2023 13:00:00,1.3,0.58,240
01/01/2023 13:30:00,1.1,0.58,207
01/01/2023 14:00:00,1.1,0.59,214
01/01/2023 14:30:00,1.4,0.58,238
01/01/2023 15:00:00,0.8,0.57,182
01/01/2023 15:30:00,1.2,0.59,230
01/01/2023 16:00:00,1.4,0.58,239
01/01/2023 16:30:00,0.8,0.59,180
01/01/2023 17:00:00,1.3010000000000000,0.58,244
01/01/2023 17:30:00,0.8,0.58,176
01/01/2023 18:00:00,1.4,0.59,239
01/01/2023 18:30:00,1.0,0.57,192
01/01/2023 19:00:00,1.099,0.56,222
01/01/2023 19:30:00,1.3,0.55,233
01/01/2023 20:00:00,0.8,0.53,166
01/01/2023 20:30:00,1.2000000000000000,0.55,229
01/01/2023 21:00:00,1.2000000000000000,0.54,207
