From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/07/2023 00:00:00,0.3,0.0,43
01/07/2023 00:30:00,0.4,0.0,45
01/07/2023 01:00:00,0.401,0.0,49
01/07/2023 01:30:00,0.399,0.0,42
01/07/2023 02:00:00,0.4,0.0,54
01/07/2023 02:30:00,0.4,0.0,40
01/07/2023 03:00:00,0.5,0.0,54
01/07/2023 03:30:00,0.301,0.0,42
01/07/2023 04:00:00,0.5,0.0,54
01/07/2023 04:30:00,0.399,0.0,42
01/07/2023 05:00:00,0.4,0.0,54
01/07/2023 05:30:00,0.5,0.0,51
01/07/2023 06:00:00,0.3,0.0,45
01/07/2023 06:30:00,0.5,0.0,55
01/07/2023 07:00:00,0.401,0.0,44
01/07/2023 07:30:00,0.5,0.0,54
01/07/2023 08:00:00,0.399,0.0,51
01/07/2023 08:30:00,0.6,0.0,80
01/07/2023 09:00:00,0.4,0.0,40
01/07/2023 09:30:00,0.5,0.0,56
01/07/2023 10:00:00,0.4,0.0,51
01/07/2023 10:30:00,0.601,0.26,117
01/07/2023 11:00:00,0.5,0.58,142
01/07/2023 11:30:00,0.5,0.53,129
01/07/2023 12:00:00,0.399,0.0,42
01/07/2023 12:30:00,0.4,0.0,49
01/07/2023 13:00:00,0.4,0.0,45
01/07/2023 13:30:00,0.4,0.0,52
01/07/2023 14:00:00,0.401,0.0,42
01/07/2023 14:30:00,0.399,0.0,49
01/07/2023 15:00:00,0.3,0.0,46
01/07/2023 15:30:00,0.5,0.0,48
01/07/2023 16:00:00,0.4,0.0,48
01/07/2023 16:30:00,0.401,0.0,46
01/07/2023 17:00:00,0.399,0.0,50
01/07/2023 17:30:00,0.4,0.0,46
01/07/2023 18:00:00,0.4,0.0,52
01/07/2023 18:30:00,0.4,0.0,44
01/07/2023 19:00:00,0.401,0.0,52
01/07/2023 19:30:00,0.399,0.0,44
01/07/2023 20:00:00,0.4,0.0,55
01/07/2023 20:30:00,0.4,0.0,43
