From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/06/2023 00:00:00,0.799,0.47,152
01/06/2023 00:30:00,0.7,0.51,159
01/06/2023 01:00:00,0.8,0.5,152
01/06/2023 01:30:00,0.6000000000000000,0.5,140
01/06/2023 02:00:00,0.5,0.51,120
01/06/2023 02:30:00,0.8,0.51,158
01/06/2023 03:00:00,0.6000000000000000,0.46,142
01/06/2023 03:30:00,0.7,0.44,132
01/06/2023 04:00:00,0.8,0.53,161
01/06/2023 04:30:00,0.5,0.55,130
01/06/2023 05:00:00,0.7,0.49,139
01/06/2023 05:30:00,0.8,0.51,156
01/06/2023 06:00:00,0.7,0.57,162
01/06/2023 06:30:00,0.7,0.54,135
01/06/2023 07:00:00,0.6,0.55,145
01/06/2023 07:30:00,0.8,0.59,175
01/06/2023 08:00:00,0.9000000000000000,0.58,165
01/06/2023 08:30:00,0.6,0.59,139
01/06/2023 09:00:00,0.6,0.58,152
01/06/2023 09:30:00,0.8,0.58,174
01/06/2023 10:00:00,0.7,0.59,158
01/06/2023 10:30:00,0.6,0.58,145
01/06/2023 11:00:00,0.5,0.59,140
01/06/2023 11:30:00,0.6,0.58,145
01/06/2023 12:00:00,0.6,0.59,145
01/06/2023 12:30:00,0.6,0.58,144
01/06/2023 13:00:00,0.7,0.59,173
01/06/2023 13:30:00,0.8,0.58,153
01/06/2023 14:00:00,0.5,0.58,139
01/06/2023 14:30:00,0.6,0.59,140
01/06/2023 15:00:00,0.5,0.58,141
01/06/2023 15:30:00,0.6,0.59,139
01/06/2023 16:00:00,0.6,0.58,140
01/06/2023 16:30:00,0.5,0.58,139
01/06/2023 17:00:00,0.6,0.58,139
01/06/2023 17:30:00,0.5,0.57,135
01/06/2023 18:00:00,0.6,0.55,153
01/06/2023 18:30:00,0.9000000000000000,0.57,164
01/06/2023 19:00:00,0.5,0.49,116
01/06/2023 19:30:00,0.6,0.54,124
01/06/2023 20:00:00,0.5,0.56,124
01/06/2023 20:30:00,0.8,0.51,155
01/06/2023 21:00:00,0.6000000000000000,0.51,147
01/06/2023 21:30:00,0.6,0.51,125
01/06/2023 22:00:00,0.5,0.49,111
01/06/2023 22:30:00,0.8,0.51,155
01/06/2023 23:00:00,0.7,0.49,142
01/06/2023 23:30:00,0.7,0.48,141
02/06/2023 00:00:00,0.4,0.48,108
02/06/2023 00:30:00,0.7,0.49,137
02/06/2023 01:00:00,0.7,0.49,145
02/06/2023 01:30:00,0.8,0.48,146
02/06/2023 02:00:00,0.6000000000000000,0.44,127
02/06/2023 02:30:00,0.6000000000000000,0.48,128
02/06/2023 03:00:00,0.5,0.43,123
02/06/2023 03:30:00,0.8,0.46,144
02/06/2023 04:00:00,0.6,0.42,141
02/06/2023 04:30:00,0.7,0.42,139
02/06/2023 05:00:00,0.8,0.49,155
02/06/2023 05:30:00,0.7,0.55,158
02/06/2023 06:00:00,0.5,0.56,133
02/06/2023 06:30:00,0.9000000000000000,0.57,177
02/06/2023 07:00:00,0.9000000000000000,0.58,172
02/06/2023 07:30:00,0.7,0.58,167
02/06/2023 08:00:00,0.6,0.58,143
02/06/2023 08:30:00,0.6,0.58,138
02/06/2023 09:00:00,0.8,0.59,166
02/06/2023 09:30:00,0.8,0.58,173
02/06/2023 10:00:00,0.7,0.59,161
02/06/2023 10:30:00,0.5,0.58,140
02/06/2023 11:00:00,0.6,0.59,141
02/06/2023 11:30:00,0.5,0.58,139
02/06/2023 12:00:00,0.6,0.59,140
02/06/2023 12:30:00,0.5,0.58,139
02/06/2023 13:00:00,0.6,0.58,139
02/06/2023 13:30:00,0.6,0.59,140
02/06/2023 14:00:00,0.5,0.58,138
