From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/03/2023 00:00,1.2000000000000000,0.53,216
01/03/2023 00:30,1.2000000000000000,0.53,218
01/03/2023 01:00,1.1,0.53,216
01/03/2023 01:30,1.3,0.52,215
01/03/2023 02:00,1.3,0.52,226
01/03/2023 02:30,1.3,0.52,228
01/03/2023 03:00,1.3,0.52,224
01/03/2023 03:30,1.2000000000000000,0.52,213
01/03/2023 04:00,1.2000000000000000,0.52,214
01/03/2023 04:30,1.3,0.51,222
01/03/2023 05:00,1.2000000000000000,0.51,221
01/03/2023 05:30,1.4,0.54,228
01/03/2023 06:00,1.3,0.55,231
01/03/2023 06:30,1.4,0.56,232
01/03/2023 07:00,1.2000000000000000,0.57,237
01/03/2023 07:30,1.4,0.59,240
01/03/2023 08:00,1.6,0.58,281
01/03/2023 08:30,1.6,0.59,263
01/03/2023 09:00,1.3,0.58,235
01/03/2023 09:30,1.8000000000000000,0.59,300
01/03/2023 10:00,1.5,0.58,257
01/03/2023 10:30,1.3,0.58,240
01/03/2023 11:00,1.4,0.59,239
01/03/2023 11:30,1.2000000000000000,0.58,242
01/03/2023 12:00,1.3,0.59,240
01/03/2023 12:30,1.4,0.58,240
01/03/2023 13:00,1.3,0.59,240
01/03/2023 13:30,1.0,0.58,232
01/03/2023 14:00,1.6,0.59,247
01/03/2023 14:30,1.1,0.58,186
01/03/2023 15:00,1.5,0.58,241
01/03/2023 15:30,1.1,0.59,207
01/03/2023 16:00,1.3,0.58,235
01/03/2023 16:30,1.3,0.59,233
01/03/2023 17:00,1.3,0.58,234
01/03/2023 17:30,1.2000000000000000,0.59,232
01/03/2023 18:00,1.3,0.58,235
01/03/2023 18:30,1.4,0.59,232
01/03/2023 19:00,1.3,0.58,234
01/03/2023 19:30,1.3,0.58,234
01/03/2023 20:00,1.3,0.59,234
01/03/2023 20:30,1.3,0.58,233
01/03/2023 21:00,1.4,0.58,232
01/03/2023 21:30,1.2000000000000000,0.55,223
01/03/2023 22:00,1.2000000000000000,0.55,226
01/03/2023 22:30,1.3,0.55,224
01/03/2023 23:00,1.3,0.55,223
01/03/2023 23:30,1.2000000000000000,0.53,220
02/03/2023 00:00,1.2000000000000000,0.54,224
02/03/2023 00:30,1.3,0.54,219
02/03/2023 01:00,1.2000000000000000,0.53,221
02/03/2023 01:30,1.2000000000000000,0.52,215
02/03/2023 02:00,1.3,0.52,217
02/03/2023 02:30,1.2000000000000000,0.52,217
02/03/2023 03:00,1.2000000000000000,0.52,216
02/03/2023 03:30,1.2000000000000000,0.51,217
02/03/2023 04:00,1.3,0.52,216
02/03/2023 04:30,1.2000000000000000,0.51,217
02/03/2023 05:00,1.2000000000000000,0.51,214
02/03/2023 05:30,1.2000000000000000,0.53,218
02/03/2023 06:00,1.2000000000000000,0.54,222
02/03/2023 06:30,1.3,0.53,220
02/03/2023 07:00,1.3,0.58,231
02/03/2023 07:30,1.4,0.58,244
02/03/2023 08:00,1.4,0.59,245
02/03/2023 08:30,1.5,0.58,246
02/03/2023 09:00,1.4,0.59,245
02/03/2023 09:30,1.3,0.58,241
02/03/2023 10:00,1.5,0.59,270
02/03/2023 10:30,1.5,0.58,258
02/03/2023 11:00,1.4,0.59,246
02/03/2023 11:30,1.3,0.58,248
02/03/2023 12:00,1.4,0.58,245
02/03/2023 12:30,1.2000000000000000,0.59,245
02/03/2023 13:00,0.9,0.58,188
02/03/2023 13:30,1.3,0.59,232
02/03/2023 14:00,1.4,0.58,261
02/03/2023 14:30,1.4,0.59,226
02/03/2023 15:00,1.0,0.58,194
02/03/2023 15:30,1.1000000000000000,0.59,239
02/03/2023 16:00,1.6,0.58,264
02/03/2023 16:30,1.3,0.58,235
02/03/2023 17:00,1.2000000000000000,0.59,239
02/03/2023 17:30,1.4,0.58,237
02/03/2023 18:00,1.4,0.68,273
02/03/2023 18:30,1.3,0.58,237
02/03/2023 19:00,1.4,0.59,236
02/03/2023 19:30,1.2000000000000000,0.58,238
02/03/2023 20:00,1.3,0.58,238
02/03/2023 20:30,1.2000000000000000,0.59,236
02/03/2023 21:00,1.3,0.57,236
02/03/2023 21:30,1.3,0.58,231
02/03/2023 22:00,1.2000000000000000,0.55,230
02/03/2023 22:30,1.2000000000000000,0.55,229
02/03/2023 23:00,1.3,0.56,228
02/03/2023 23:30,1.2000000000000000,0.54,226
