From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/05/2023 00:00:00,0.7,0.49,159
01/05/2023 00:30:00,0.7,0.47,155
01/05/2023 01:00:00,0.8,0.48,159
01/05/2023 01:30:00,0.8,0.49,166
01/05/2023 02:00:00,0.8,0.48,168
01/05/2023 02:30:00,0.8,0.53,170
01/05/2023 03:00:00,0.7,0.5,161
01/05/2023 03:30:00,0.9,0.47,162
01/05/2023 04:00:00,0.8,0.42,166
01/05/2023 04:30:00,0.8,0.49,166
01/05/2023 05:00:00,0.8,0.45,157
01/05/2023 05:30:00,0.8,0.47,169
01/05/2023 06:00:00,0.8,0.5,165
01/05/2023 06:30:00,0.9,0.57,187
01/05/2023 07:00:00,0.8,0.55,181
01/05/2023 07:30:00,0.8,0.55,176
01/05/2023 08:00:00,0.9,0.57,179
01/05/2023 08:30:00,0.8,0.58,181
01/05/2023 09:00:00,0.9000000000000000,0.57,178
01/05/2023 09:30:00,0.7,0.57,166
01/05/2023 10:00:00,0.5,0.58,142
01/05/2023 10:30:00,0.7,0.58,175
01/05/2023 11:00:00,0.7,0.58,166
01/05/2023 11:30:00,0.6,0.57,140
01/05/2023 12:00:00,0.5,0.59,144
01/05/2023 12:30:00,1.0,0.58,203
01/05/2023 13:00:00,0.6,0.58,151
01/05/2023 13:30:00,0.5,0.57,139
01/05/2023 14:00:00,0.6,0.57,141
01/05/2023 14:30:00,0.8,0.57,174
01/05/2023 15:00:00,0.6,0.58,161
01/05/2023 15:30:00,0.5,0.58,145
01/05/2023 16:00:00,0.5,0.58,141
01/05/2023 16:30:00,0.5,0.55,137
01/05/2023 17:00:00,0.9,0.54,182
01/05/2023 17:30:00,0.6,0.54,150
01/05/2023 18:00:00,0.6,0.58,148
01/05/2023 18:30:00,0.8,0.52,168
01/05/2023 19:00:00,0.7,0.52,163
01/05/2023 19:30:00,0.5,0.52,129
01/05/2023 20:00:00,1.0,0.52,188
01/05/2023 20:30:00,0.7,0.51,170
01/05/2023 21:00:00,0.7,0.53,152
01/05/2023 21:30:00,0.9,0.52,180
01/05/2023 22:00:00,0.8,0.49,166
01/05/2023 22:30:00,0.7,0.5,166
01/05/2023 23:00:00,0.9,0.47,165
01/05/2023 23:30:00,0.8,0.42,162
02/05/2023 00:00:00,0.8,0.51,168
02/05/2023 00:30:00,0.9,0.5,177
02/05/2023 01:00:00,0.8,0.51,165
02/05/2023 01:30:00,0.9,0.51,181
02/05/2023 02:00:00,0.9,0.49,168
02/05/2023 02:30:00,0.8,0.48,171
02/05/2023 03:00:00,1.0,0.46,186
02/05/2023 03:30:00,0.9,0.54,172
02/05/2023 04:00:00,0.8,0.5,181
02/05/2023 04:30:00,1.0,0.47,176
02/05/2023 05:00:00,0.8,0.53,177
02/05/2023 05:30:00,1.0,0.48,185
02/05/2023 06:00:00,1.0,0.55,195
02/05/2023 06:30:00,1.0,0.57,196
02/05/2023 07:00:00,0.9,0.58,188
02/05/2023 07:30:00,1.0,0.58,212
02/05/2023 08:00:00,1.0000000000000000,0.59,229
02/05/2023 08:30:00,0.9,0.59,183
