From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/10/2023 00:00:00,0.5,0.5,121
01/10/2023 00:30:00,0.5,0.51,123
01/10/2023 01:00:00,0.5,0.55,133
01/10/2023 01:30:00,0.5,0.52,128
01/10/2023 02:00:00,0.5,0.53,126
01/10/2023 02:30:00,0.4,0.51,125
01/10/2023 03:00:00,0.5,0.52,128
01/10/2023 03:30:00,0.5,0.51,124
01/10/2023 04:00:00,0.5,0.52,126
01/10/2023 04:30:00,0.4,0.52,126
01/10/2023 05:00:00,0.5,0.53,128
01/10/2023 05:30:00,0.5,0.53,129
01/10/2023 06:00:00,0.5,0.55,133
01/10/2023 06:30:00,0.5,0.57,137
01/10/2023 07:00:00,0.5,0.57,139
01/10/2023 07:30:00,0.5,0.58,140
01/10/2023 08:00:00,0.5,0.58,139
01/10/2023 08:30:00,0.6,0.58,140
01/10/2023 09:00:00,0.5,0.58,141
01/10/2023 09:30:00,0.5,0.59,142
01/10/2023 10:00:00,0.5,0.58,141
01/10/2023 10:30:00,0.5,0.58,140
01/10/2023 11:00:00,0.5,0.59,141
01/10/2023 11:30:00,0.4,0.58,141
01/10/2023 12:00:00,0.5,0.59,140
01/10/2023 12:30:00,0.5,0.58,141
01/10/2023 13:00:00,0.5,0.59,141
01/10/2023 13:30:00,0.5,0.58,141
01/10/2023 14:00:00,0.5,0.58,141
01/10/2023 14:30:00,0.4,0.59,141
01/10/2023 15:00:00,0.5,0.58,141
01/10/2023 15:30:00,0.5,0.58,141
01/10/2023 16:00:00,0.5,0.59,141
01/10/2023 16:30:00,0.4,0.58,142
01/10/2023 17:00:00,0.5,0.58,141
01/10/2023 17:30:00,0.4,0.58,143
01/10/2023 18:00:00,0.5,0.57,138
01/10/2023 18:30:00,0.4,0.57,140
01/10/2023 19:00:00,0.5,0.57,140
01/10/2023 19:30:00,0.4,0.56,138
01/10/2023 20:00:00,0.5,0.57,140
01/10/2023 20:30:00,0.4,0.56,135
01/10/2023 21:00:00,0.5,0.54,135
01/10/2023 21:30:00,0.4,0.54,132
01/10/2023 22:00:00,0.4,0.55,133
01/10/2023 22:30:00,0.5,0.53,130
01/10/2023 23:00:00,0.4,0.53,130
01/10/2023 23:30:00,0.5,0.53,128
02/10/2023 00:00:00,0.4,0.52,126
02/10/2023 00:30:00,0.4,0.51,124
02/10/2023 01:00:00,0.5,0.51,124
02/10/2023 01:30:00,0.4,0.52,123
02/10/2023 02:00:00,0.4,0.5,124
02/10/2023 02:30:00,0.5,0.52,125
