From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/09/2023 00:00:00,0.399,0.0,53
01/09/2023 00:30:00,0.4,0.0,47
01/09/2023 01:00:00,0.8000000000000000,0.0,94
01/09/2023 01:30:00,0.6,0.0,74
01/09/2023 02:00:00,0.4,0.0,48
01/09/2023 02:30:00,0.6,0.0,63
01/09/2023 03:00:00,0.3,0.0,44
01/09/2023 03:30:00,0.5,0.0,54
01/09/2023 04:00:00,0.5,0.0,54
01/09/2023 04:30:00,0.4,0.0,52
01/09/2023 05:00:00,0.4,0.0,46
01/09/2023 05:30:00,0.6,0.0,59
01/09/2023 06:00:00,0.301,0.0,38
01/09/2023 06:30:00,0.299,0.0,42
01/09/2023 07:00:00,0.4,0.0,58
01/09/2023 07:30:00,0.6000000000000000,0.0,59
01/09/2023 08:00:00,0.4,0.0,58
01/09/2023 08:30:00,0.5,0.0,55
01/09/2023 09:00:00,0.5,0.0,59
01/09/2023 09:30:00,0.501,0.0,59
01/09/2023 10:00:00,0.399,0.0,50
01/09/2023 10:30:00,0.5,0.13,90
01/09/2023 11:00:00,0.6,0.58,150
01/09/2023 11:30:00,0.5,0.59,141
01/09/2023 12:00:00,0.5,0.58,142
01/09/2023 12:30:00,0.5,0.59,142
01/09/2023 13:00:00,0.5,0.58,142
01/09/2023 13:30:00,0.5,0.58,140
01/09/2023 14:00:00,0.5,0.59,140
01/09/2023 14:30:00,0.5,0.58,140
01/09/2023 15:00:00,0.5,0.59,140
01/09/2023 15:30:00,0.5,0.58,141
01/09/2023 16:00:00,0.4,0.59,140
01/09/2023 16:30:00,0.5,0.58,141
01/09/2023 17:00:00,0.4,0.59,141
01/09/2023 17:30:00,0.5,0.58,141
01/09/2023 18:00:00,0.4,0.58,141
01/09/2023 18:30:00,0.5,0.59,141
01/09/2023 19:00:00,0.4,0.58,139
01/09/2023 19:30:00,0.5,0.57,136
01/09/2023 20:00:00,0.4,0.56,135
01/09/2023 20:30:00,0.4,0.56,133
01/09/2023 21:00:00,0.4,0.53,127
01/09/2023 21:30:00,0.4,0.53,125
01/09/2023 22:00:00,0.4,0.52,126
01/09/2023 22:30:00,0.5,0.53,123
01/09/2023 23:00:00,0.4,0.5,122
01/09/2023 23:30:00,0.4,0.51,121
02/09/2023 00:00:00,0.4,0.5,120
02/09/2023 00:30:00,0.4,0.51,123
02/09/2023 01:00:00,0.4,0.51,121
02/09/2023 01:30:00,0.4,0.51,123
02/09/2023 02:00:00,0.4,0.5,119
02/09/2023 02:30:00,0.4,0.49,118
02/09/2023 03:00:00,0.5,0.52,123
02/09/2023 03:30:00,0.4,0.49,119
02/09/2023 04:00:00,0.4,0.49,116
02/09/2023 04:30:00,0.4,0.49,117
02/09/2023 05:00:00,0.4,0.5,119
02/09/2023 05:30:00,0.5,0.49,118
02/09/2023 06:00:00,0.4,0.52,123
02/09/2023 06:30:00,0.5,0.54,128
02/09/2023 07:00:00,0.4,0.55,131
02/09/2023 07:30:00,0.5,0.56,132
02/09/2023 08:00:00,0.5,0.57,137
02/09/2023 08:30:00,0.5,0.58,139
02/09/2023 09:00:00,0.5,0.58,137
02/09/2023 09:30:00,0.5,0.59,140
02/09/2023 10:00:00,0.5,0.58,140
02/09/2023 10:30:00,0.4,0.59,141
02/09/2023 11:00:00,0.5,0.58,140
02/09/2023 11:30:00,0.5,0.59,141
02/09/2023 12:00:00,0.4,0.58,140
02/09/2023 12:30:00,0.5,0.58,140
02/09/2023 13:00:00,0.4,0.59,141
02/09/2023 13:30:00,0.5,0.58,140
02/09/2023 14:00:00,0.4,0.59,140
02/09/2023 14:30:00,0.4,0.58,140
02/09/2023 15:00:00,0.4,0.59,138
02/09/2023 15:30:00,0.5,0.58,140
02/09/2023 16:00:00,0.4,0.59,139
02/09/2023 16:30:00,0.4,0.58,139
02/09/2023 17:00:00,0.4,0.59,140
02/09/2023 17:30:00,0.4,0.58,140
02/09/2023 18:00:00,0.4,0.58,139
02/09/2023 18:30:00,0.4,0.57,134
02/09/2023 19:00:00,0.4,0.55,131
02/09/2023 19:30:00,0.4,0.55,131
02/09/2023 20:00:00,0.4,0.56,132
02/09/2023 20:30:00,0.4,0.55,129
02/09/2023 21:00:00,0.3,0.52,127
02/09/2023 21:30:00,0.4,0.53,125
02/09/2023 22:00:00,0.4,0.52,124
02/09/2023 22:30:00,0.4,0.52,126
02/09/2023 23:00:00,0.3,0.51,122
02/09/2023 23:30:00,0.4,0.5,118
03/09/2023 00:00:00,0.4,0.5,121
03/09/2023 00:30:00,0.4,0.5,118
03/09/2023 01:00:00,0.4,0.49,118
03/09/2023 01:30:00,0.3,0.47,114
03/09/2023 02:00:00,0.4,0.48,113
03/09/2023 02:30:00,0.4,0.48,116
03/09/2023 03:00:00,0.4,0.46,114
03/09/2023 03:30:00,0.4,0.48,114
03/09/2023 04:00:00,0.4,0.47,114
03/09/2023 04:30:00,0.4,0.49,118
03/09/2023 05:00:00,0.4,0.48,117
03/09/2023 05:30:00,0.4,0.48,114
03/09/2023 06:00:00,0.4,0.47,115
03/09/2023 06:30:00,0.5,0.51,122
03/09/2023 07:00:00,0.4,0.54,127
03/09/2023 07:30:00,0.5,0.55,135
03/09/2023 08:00:00,0.5,0.58,137
03/09/2023 08:30:00,0.5,0.57,136
03/09/2023 09:00:00,0.5,0.58,140
03/09/2023 09:30:00,0.5,0.59,139
03/09/2023 10:00:00,0.5,0.58,140
03/09/2023 10:30:00,0.4,0.59,139
03/09/2023 11:00:00,0.5,0.58,139
03/09/2023 11:30:00,0.5,0.59,139
03/09/2023 12:00:00,0.4,0.58,138
03/09/2023 12:30:00,0.5,0.59,139
03/09/2023 13:00:00,0.4,0.58,139
03/09/2023 13:30:00,0.5,0.58,140
03/09/2023 14:00:00,0.4,0.59,138
03/09/2023 14:30:00,0.4,0.58,139
03/09/2023 15:00:00,0.4,0.59,138
03/09/2023 15:30:00,0.5,0.58,138
03/09/2023 16:00:00,0.4,0.59,139
03/09/2023 16:30:00,0.4,0.58,139
03/09/2023 17:00:00,0.4,0.58,138
03/09/2023 17:30:00,0.4,0.59,139
03/09/2023 18:00:00,0.4,0.58,138
03/09/2023 18:30:00,0.4,0.58,138
03/09/2023 19:00:00,0.4,0.58,136
03/09/2023 19:30:00,0.4,0.56,133
03/09/2023 20:00:00,0.4,0.57,134
03/09/2023 20:30:00,0.4,0.55,132
03/09/2023 21:00:00,0.4,0.56,132
03/09/2023 21:30:00,0.3,0.54,128
03/09/2023 22:00:00,0.4,0.54,128
03/09/2023 22:30:00,0.4,0.53,125
03/09/2023 23:00:00,0.3,0.53,127
03/09/2023 23:30:00,0.4,0.51,121
04/09/2023 00:00:00,0.4,0.51,121
04/09/2023 00:30:00,0.4,0.5,123
04/09/2023 01:00:00,0.3,0.51,121
04/09/2023 01:30:00,0.4,0.5,120
04/09/2023 02:00:00,0.4,0.49,118
04/09/2023 02:30:00,0.4,0.49,118
04/09/2023 03:00:00,0.3,0.48,115
04/09/2023 03:30:00,0.4,0.47,115
04/09/2023 04:00:00,0.4,0.48,115
04/09/2023 04:30:00,0.4,0.47,115
04/09/2023 05:00:00,0.4,0.49,119
04/09/2023 05:30:00,0.4,0.52,125
04/09/2023 06:00:00,0.5,0.52,127
04/09/2023 06:30:00,0.5,0.57,136
04/09/2023 07:00:00,0.5,0.58,141
04/09/2023 07:30:00,0.5,0.59,140
04/09/2023 08:00:00,0.5,0.58,142
04/09/2023 08:30:00,0.4,0.59,143
04/09/2023 09:00:00,0.5,0.58,140
04/09/2023 09:30:00,0.5,0.59,140
04/09/2023 10:00:00,0.5,0.58,139
04/09/2023 10:30:00,0.5,0.58,140
04/09/2023 11:00:00,0.5,0.59,138
04/09/2023 11:30:00,0.4,0.58,140
04/09/2023 12:00:00,0.5,0.59,142
04/09/2023 12:30:00,0.4,0.58,141
04/09/2023 13:00:00,0.5,0.59,140
04/09/2023 13:30:00,0.4,0.58,142
04/09/2023 14:00:00,0.4,0.59,141
04/09/2023 14:30:00,0.5,0.58,142
04/09/2023 15:00:00,0.4,0.58,139
04/09/2023 15:30:00,0.4,0.59,140
04/09/2023 16:00:00,0.4,0.58,139
04/09/2023 16:30:00,0.4,0.59,140
04/09/2023 17:00:00,0.5,0.58,141
04/09/2023 17:30:00,0.4,0.59,141
04/09/2023 18:00:00,0.4,0.58,139
04/09/2023 18:30:00,0.4,0.59,140
04/09/2023 19:00:00,0.4,0.58,140
04/09/2023 19:30:00,0.4,0.58,139
04/09/2023 20:00:00,0.3,0.59,139
04/09/2023 20:30:00,0.4,0.58,138
04/09/2023 21:00:00,0.4,0.59,139
04/09/2023 21:30:00,0.4,0.58,139
04/09/2023 22:00:00,0.4,0.59,138
04/09/2023 22:30:00,0.4,0.57,137
04/09/2023 23:00:00,0.4,0.56,133
04/09/2023 23:30:00,0.3,0.56,131
05/09/2023 00:00:00,0.4,0.54,131
05/09/2023 00:30:00,0.4,0.54,131
05/09/2023 01:00:00,0.3,0.54,130
05/09/2023 01:30:00,0.4,0.54,131
05/09/2023 02:00:00,0.4,0.54,128
05/09/2023 02:30:00,0.3,0.52,127
05/09/2023 03:00:00,0.4,0.52,127
05/09/2023 03:30:00,0.4,0.54,128
05/09/2023 04:00:00,0.4,0.51,126
05/09/2023 04:30:00,0.4,0.53,127
05/09/2023 05:00:00,0.3,0.54,129
05/09/2023 05:30:00,0.5,0.53,129
05/09/2023 06:00:00,0.4,0.55,132
05/09/2023 06:30:00,0.4,0.58,139
05/09/2023 07:00:00,0.5,0.58,139
05/09/2023 07:30:00,0.5,0.59,140
05/09/2023 08:00:00,0.4,0.58,142
05/09/2023 08:30:00,0.5,0.59,139
05/09/2023 09:00:00,0.5,0.58,140
05/09/2023 09:30:00,0.4,0.58,138
05/09/2023 10:00:00,0.5,0.59,140
05/09/2023 10:30:00,0.4,0.59,139
05/09/2023 11:00:00,0.5,0.58,141
05/09/2023 11:30:00,0.4,0.58,138
05/09/2023 12:00:00,0.5,0.59,141
05/09/2023 12:30:00,0.4,0.58,141
05/09/2023 13:00:00,0.5,0.59,140
05/09/2023 13:30:00,0.4,0.58,141
05/09/2023 14:00:00,0.4,0.59,139
05/09/2023 14:30:00,0.5,0.58,140
05/09/2023 15:00:00,0.4,0.59,140
05/09/2023 15:30:00,0.4,0.58,138
05/09/2023 16:00:00,0.4,0.58,140
05/09/2023 16:30:00,0.4,0.59,138
05/09/2023 17:00:00,0.4,0.58,140
05/09/2023 17:30:00,0.5,0.59,139
05/09/2023 18:00:00,0.4,0.58,139
05/09/2023 18:30:00,0.4,0.58,139
05/09/2023 19:00:00,0.4,0.59,140
05/09/2023 19:30:00,0.4,0.59,139
